"","dia","obitos"
"1",2020-01-01,60
"2",2020-01-02,66
"3",2020-01-03,56
"4",2020-01-04,68
"5",2020-01-05,62
"6",2020-01-06,52
"7",2020-01-07,53
"8",2020-01-08,58
"9",2020-01-09,50
"10",2020-01-10,49
"11",2020-01-11,54
"12",2020-01-12,50
"13",2020-01-13,35
"14",2020-01-14,35
"15",2020-01-15,38
"16",2020-01-16,31
"17",2020-01-17,41
"18",2020-01-18,31
"19",2020-01-19,30
"20",2020-01-20,25
"21",2020-01-21,27
"22",2020-01-22,23
"23",2020-01-23,18
"24",2020-01-24,25
"25",2020-01-25,13
"26",2020-01-26,15
"27",2020-01-27,16
"28",2020-01-28,14
"29",2020-01-29,7
"30",2020-01-30,15
"31",2020-01-31,9
"32",2020-02-01,9
"33",2020-02-02,9
"34",2020-02-03,10
"35",2020-02-04,7
"36",2020-02-05,7
"37",2020-02-06,7
"38",2020-02-07,2
"39",2020-02-08,9
"40",2020-02-09,8
"41",2020-02-10,4
"42",2020-02-11,5
"43",2020-02-12,4
"44",2020-02-13,7
"45",2020-02-14,1
"46",2020-02-15,3
"47",2020-02-16,2
"48",2020-02-17,6
"49",2020-02-18,2
"50",2020-02-19,5
"51",2020-02-20,5
"52",2020-02-21,3
"53",2020-02-22,3
"54",2020-02-23,1
"55",2020-02-25,2
"56",2020-02-26,4
"57",2020-02-27,1
"58",2020-02-28,2
"59",2020-03-01,2
"60",2020-03-02,3
"61",2020-03-03,1
"62",2020-03-04,3
"63",2020-03-05,1
"64",2020-03-06,1
"65",2020-03-07,3
"66",2020-03-09,1
"67",2020-03-10,3
"68",2020-03-11,1
"69",2020-03-12,1
"70",2020-03-13,1
"71",2020-03-15,2
"72",2020-03-16,1
"73",2020-03-19,2
"74",2020-03-22,1
"75",2020-03-24,2
"76",2020-03-26,2
"77",2020-03-27,1
"78",2020-03-28,1
"79",2020-03-30,1
"80",2020-04-01,1
"81",2020-04-02,2
"82",2020-04-03,1
"83",2020-04-04,1
"84",2020-04-05,1
"85",2020-04-06,1
"86",2020-04-07,1
"87",2020-04-08,4
"88",2020-04-09,5
"89",2020-04-10,2
"90",2020-04-11,1
"91",2020-04-12,1
"92",2020-04-13,2
"93",2020-04-14,1
"94",2020-04-15,3
"95",2020-04-16,2
"96",2020-04-18,1
"97",2020-04-19,2
"98",2020-04-20,1
"99",2020-04-21,1
"100",2020-04-22,2
"101",2020-04-23,3
"102",2020-04-24,3
"103",2020-04-25,2
"104",2020-04-26,9
"105",2020-04-27,3
"106",2020-04-28,5
"107",2020-04-29,3
"108",2020-04-30,8
"109",2020-05-01,2
